标题链接,ID,名称,字段1,评分,点赞,投币,收藏,分享,播放/弹幕/追番
https://www.bilibili.com/bangumi/play/ss36429?from_spmid=666.14.0.0,BV13h41127kc,Re：从零开始的异世界生活 第二季 后半,"小说改 / 穿越 / 奇幻 / 冒险,·,2021,·,已完结, 全12话,·",9.9分,29.8万,21万,1.6万,726,1.2亿播放  ·  122.6万弹幕  ·  1019.4万系列追番
https://www.bilibili.com/bangumi/play/ss44863?from_spmid=666.14.0.0,BV1Ss4y1w74K,国王排名 勇气的宝箱,"漫画改 / 冒险 / 励志 / 奇幻,·,2023,·,已完结, 全10话,·",7.7分,1.8万,3557,1243,1830,3577.9万播放  ·  2.2万弹幕  ·  906.3万系列追番
https://www.bilibili.com/bangumi/play/ss36198?from_spmid=666.14.0.0,BV1MK411u7Vp,堀与宫村,"漫画改 / 校园 / 恋爱 / 少女,·,2021,·,已完结, 全13话,·",9.8分,88.8万,46.7万,13万,5.7万,3.2亿播放  ·  278.9万弹幕  ·  894.3万系列追番
https://www.bilibili.com/bangumi/play/ss5800?from_spmid=666.14.0.0,BV1gs411h7DE,小林家的龙女仆,"萌系 / 搞笑 / 日常 / 漫画改,·,2017,·,已完结, 全14话,·",9.7分,30.5万,18.4万,5.7万,4.7万,3.7亿播放  ·  586.8万弹幕  ·  1033.7万系列追番
https://www.bilibili.com/bangumi/play/ss25733?from_spmid=666.14.0.0,BV1Mt411r7ae,青春猪头少年不会梦到兔女郎学姐,"小说改 / 恋爱 / 奇幻 / 校园,·,2018,·,已完结, 全13话,·",9.8分,23.3万,50.8万,3.1万,2.7万,2.6亿播放  ·  438.2万弹幕  ·  887.6万系列追番
https://www.bilibili.com/bangumi/play/ss24588?from_spmid=666.14.0.0,BV1as411p7ae,工作细胞,"声控 / 战斗 / 漫画改 / 搞笑,·,2018,·,已完结, 全14话,·",9.7分,22.9万,23.9万,4.9万,28.4万,2.7亿播放  ·  461.8万弹幕  ·  1031.7万系列追番
https://www.bilibili.com/bangumi/play/ss38221?from_spmid=666.14.0.0,BV1ML411W7NY,关于我转生变成史莱姆这档事 转生史莱姆日记,"漫画改 / 日常 / 搞笑 / 穿越,·,2021,·,已完结, 全12话,·",9.7分,10.3万,4.4万,4734,222,1.3亿播放  ·  49.8万弹幕  ·  1083.6万系列追番
https://www.bilibili.com/bangumi/play/ss36174?from_spmid=666.14.0.0,BV1Da4y1n7je,工作细胞 第二季,"漫画改 / 搞笑 / 战斗 / 日常,·,2021,·,已完结, 全8话,·",9.7分,35.2万,15.3万,1.5万,3.3万,8841.4万播放  ·  61.1万弹幕  ·  1031.7万系列追番
https://www.bilibili.com/bangumi/play/ss26274?from_spmid=666.14.0.0,BV11b411W7bM,辉夜大小姐想让我告白～天才们的恋爱头脑战～,"恋爱 / 智斗 / 校园 / 搞笑,·,2019,·,第一季 | 已完结，共12话,·",9.8分,15.7万,41万,1.1万,10.3万,3.1亿播放  ·  493.6万弹幕  ·  1059.1万系列追番
https://www.bilibili.com/bangumi/play/ss39431?from_spmid=666.14.0.0,BV1QU4y1T7TK,JOJO的奇妙冒险 石之海,"漫画改 / 热血 / 战斗 / 奇幻,·,2022,·,已完结, 全38话,·",9.8分,50.5万,29.1万,7.6万,6万,3.5亿播放  ·  173.6万弹幕  ·  1024.2万系列追番
https://www.bilibili.com/bangumi/play/ss33802?from_spmid=666.14.0.0,BV1mt4y1Q74Q,Re：从零开始的异世界生活 第二季 前半,"小说改 / 穿越 / 奇幻 / 冒险,·,2020,·,已完结, 全13话,·",9.7分,22.4万,23.1万,1.6万,1462,1.6亿播放  ·  214.2万弹幕  ·  1019.4万系列追番
https://www.bilibili.com/bangumi/play/ss32982?from_spmid=666.14.0.0,BV1Pi4y1V7q5,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,"恋爱 / 漫画改 / 搞笑 / 校园,·,2020,·,第二季 | 已完结，共12话,·",9.8分,20.5万,32.4万,8580,3.9万,2.4亿播放  ·  388万弹幕  ·  1059.1万系列追番
https://www.bilibili.com/bangumi/play/ss25739?from_spmid=666.14.0.0,BV1mK4y1C7Th,关于我转生变成史莱姆这档事,"小说改 / 奇幻 / 战斗 / 魔法,·,2018,·,已完结, 全29话,·",9.4分,13万,5.2万,3690,5560,5.1亿播放  ·  515.1万弹幕  ·  1083.6万系列追番
https://www.bilibili.com/bangumi/play/ss5997?from_spmid=666.14.0.0,BV1ox411Q7V7,埃罗芒阿老师,"小说改 / 搞笑 / 恋爱,·,2017,·,已完结, 全12话,·",9.3分,22.8万,21.1万,6.7万,10.4万,2.4亿播放  ·  987.7万弹幕  ·  768.5万追番
https://www.bilibili.com/bangumi/play/ss6339?from_spmid=666.14.0.0,BV1wx411V7Zp,欢迎来到实力至上主义的教室,"小说改 / 校园,·,2017,·,已完结, 全12话,·",8.8分,12.1万,20.5万,1.2万,12.5万,2.6亿播放  ·  460.1万弹幕  ·  758.8万追番
https://www.bilibili.com/bangumi/play/ss34004?from_spmid=666.14.0.0,BV1xZ4y1579M,鬼灭之刃 中配版,"漫画改 / 热血 / 战斗 / 励志,·,2020,·,已完结, 全26话,·",9.1分,18.9万,4.8万,1.5万,1637,1.8亿播放  ·  80万弹幕  ·  1790万系列追番
https://www.bilibili.com/bangumi/play/ss45624?from_spmid=666.14.0.0,BV1sM4y1s7Nq,鬼灭之刃 游郭篇 中配版,"漫画改 / 热血 / 战斗 / 奇幻,·,2021,·,已完结, 全11话,·",9.0分,1.4万,2763,1723,462,1177.9万播放  ·  3.3万弹幕  ·  1790万系列追番
https://www.bilibili.com/bangumi/play/ss48811?from_spmid=666.14.0.0,BV1MzDmYJEiq,夏目友人帐 第七季,"奇幻 / 漫画改 / 日常,·,2024,·,已完结, 全12话,·",9.9分,12.1万,7.8万,3.7万,2.3万,3888.8万播放  ·  15.2万弹幕  ·  736.9万系列追番
